DSM_0453734431 6 242.667
DSM_0225610191 210 281.367
DSM_0156262550 8 182.125
DSM_0083296782 7 317.857
DSM_0194884640 13 209.154
DSM_0387872974 270 172.015
DSM_0284007782 12 134.833
DSM_0361018246 7 210.857
DSM_0415216206 7 125
DSM_0372655618 15 325.733
DSM_0040202499 11 110.727
DSM_0083471519 8 294.375
DSM_0284284996 6 570.833
DSM_0420633789 10 188.2
DSM_0111423707 24 166.375
DSM_0416280594 36 190.444
DSM_0440859906 6 74.5
DSM_0001095794 7 633.286
DSM_0016563669 10 318.5
DSM_0058128091 47 243.532
DSM_0223006290 81 285.617
DSM_0016201329 52 519.077
DSM_0041297635 9 305.333
DSM_0014443320 6 421.167
DSM_0214596778 63 559.333
DSM_0439778880 18 94.1111
DSM_0016512279 72 339.222
DSM_0300338657 21 98.9048
DSM_0239670120 8 268.875
DSM_0290289581 13 101.769
DSM_0163998030 5 146.4
DSM_0186245857 17 262.824
DSM_0047570283 128 222.516
DSM_0461049145 16 301.438
DSM_0401998641 27 127.778
DSM_0138498362 6 95
DSM_0256182836 5 100.6
DSM_0198560737 350 211.749
DSM_0227816138 10 239.3
DSM_0436115957 16 212.125
DSM_0432447160 6 182
DSM_0231700481 44 601.455
DSM_0186152885 50 78
DSM_0083867573 5 271.2
DSM_0028593049 43 669.047
DSM_0501192530 13 258.615
DSM_0321829117 24 191.5
DSM_0024534334 166 148.916
DSM_0391482784 6 198.833
DSM_0294552345 16 228.938
DSM_0336535127 13 399.692
DSM_0105403978 5 74.6
DSM_0226667502 10 176.5
DSM_0381116572 27 171.778
DSM_0499649772 17 198.059
DSM_0177573792 12 314.25
DSM_0308528865 5 219.4
DSM_0236628537 7 117.857
DSM_0094210010 54 164.685
DSM_0243068218 12 162.75
DSM_0251971057 5 168.2
DSM_0479714166 5 186.8
DSM_0221914854 15 261.933
DSM_0079766689 8 96
DSM_0251187042 10 537.2
DSM_0378506235 6 173
DSM_0022429318 20 130.6
DSM_0279673681 12 154.75
DSM_0001083209 12 189.917
DSM_0267259442 16 409.188
DSM_0001157878 6 127.333
DSM_0429723239 5 187.2
DSM_0348506661 109 173.468
DSM_0156623560 7 108.714
DSM_0495564419 25 82.16
DSM_0488903373 23 180.739
DSM_0061827634 11 598.091
DSM_0453565612 11 257.909
DSM_0033178194 16 171.625
DSM_0097729550 18 198.167
DSM_0412591786 10 159.9
DSM_0178243510 21 148.619
DSM_0230060213 18 182.5
DSM_0050000474 17 208.588
DSM_0048622489 80 453.55
DSM_0371133252 6 153.667
DSM_0479363873 14 164.857
DSM_0406109530 37 169.135
